gene_symbol,Atg4c
parameter_name,Center average speed
gene_accession_id,MGI:2651854
pvalue,0.2197715
parameter_id,JAX_OFD_017_001
analysis_id,w13k1rep2666d68
mouse_strain,C57BL
mouse_life_stage,Early adult
