analysis_id,4ni76ml2bsmyrso
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
gene_symbol,Rap2b
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.5839606
