parameter_name,Periphery average speed
pvalue,0.05276457
mouse_life_stage,Early adult
analysis_id,sg7503d81n9bs1v
mouse_strain,C57BL
gene_symbol,Golm2
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:2443129
