gene_symbol,Nipal3
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:1921802
analysis_id,4y058nvd987k0ij
pvalue,1.075635
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
mouse_strain,129SV
