analysis_id,i4sfayh644805r5
parameter_name,CD11b-high cDC - % of CD45+
parameter_id,MGP_IMM_129_001
pvalue,0.5849812
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
mouse_strain,C57BL
gene_symbol,Rab17
