gene_symbol,Lime1
mouse_strain,C57BL
analysis_id,49m8w01r6n1v6eb
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1919949
pvalue,0.8858783
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
