parameter_name,Snout morphology
mouse_life_stage,Early adult
pvalue,1.268507
analysis_id,7zi8fx140e2raw2
gene_accession_id,MGI:107566
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
gene_symbol,Kifap3
