parameter_name,CD8 CD44+CD62L- T cells
gene_symbol,Tiprl
mouse_life_stage,E9.5
analysis_id,20a69896koj475g
gene_accession_id,MGI:1915087
pvalue,0.6429775
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
