parameter_name,Periphery - Permanence Time
gene_symbol,Rufy4
mouse_strain,C57BL
gene_accession_id,MGI:3588214
analysis_id,l76ct453d11s026
parameter_id,M-G-P_007_001_008
pvalue,0.8954188
mouse_life_stage,Early adult
