analysis_id,5153886783346va
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
mouse_strain,C57BL
gene_accession_id,MGI:2385156
pvalue,0.974845
