parameter_name,Prepulse inhibition - PP4
pvalue,0.6345271
gene_symbol,Nucks1
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,ESLIM_011_001_704
analysis_id,301t961xvnr6l64
gene_accession_id,MGI:1934811
