analysis_id,04gp7335kjhe748
pvalue,0.3615348
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
