gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_strain,C57BL
analysis_id,d111g6ufz16ot4m
parameter_name,Cleft palate
pvalue,0.5568593
parameter_id,IMPC_GEP_076_001
mouse_life_stage,Early adult
