gene_symbol,Gpbp1l1
analysis_id,8t9zz0v6t1b28c5
gene_accession_id,MGI:1924360
mouse_strain,C57BL
pvalue,0.6539874
mouse_life_stage,Early adult
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
