gene_symbol,Snrpb2
mouse_life_stage,Early adult
analysis_id,ex39087t77z0qaa
gene_accession_id,MGI:104805
pvalue,1.023186
mouse_strain,C57BL
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
