analysis_id,3osp3pg0ubextlv
parameter_name,B cell percentage
mouse_strain,C57BL
pvalue,0.8744726
gene_symbol,SLX4IP
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,MGP_PBI_014_001
