parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
pvalue,1.163803
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6l6474da23t18r1
gene_accession_id,MGI:109356
gene_symbol,SNAP23
