parameter_id,UCD_OWT_008_001
pvalue,0.2308862
parameter_name,Liver weight
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,emqi7qaa9v2m2cu
