analysis_id,554m0n63jsm4995
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
parameter_name,Eye
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.8104694
