parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
pvalue,0.6107591
analysis_id,6v2a09279homwc7
