gene_symbol,Mecom
pvalue,0.08507444
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
analysis_id,p8hh368r5i31xha
mouse_strain,C3H
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
