analysis_id,j80vt43167tmykc
mouse_life_stage,Early adult
parameter_name,Shape of vertebrae
gene_accession_id,MGI:106659
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
pvalue,0.7158867
gene_symbol,Sprr1b
