analysis_id,apd8weov50299b6
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
pvalue,0.2341966
gene_symbol,Gfi1b
parameter_name,Percentage center time
