gene_symbol,Nucks1
parameter_name,Percentage center time
mouse_life_stage,Early adult
pvalue,0.2604483
analysis_id,j62qr4p54vum2pf
parameter_id,IMPC_OFD_022_001
mouse_strain,C54BL
gene_accession_id,MGI:1934811
