parameter_id,HRWLLA_CSD_008_001
gene_symbol,Dmap1
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.08411614
analysis_id,a32ej74zlc01gw1
parameter_name,Coat - color pattern - back
