gene_symbol,Stk35
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
parameter_name,Center resting time
mouse_strain,C57BL
pvalue,0.4249084
analysis_id,9zz7h750qh32r6e
gene_accession_id,MGI:1914583
