analysis_id,9u0338xwpwod347
parameter_name,Hindlimbs - size
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
gene_symbol,Ppm1j
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
pvalue,0.8136583
