analysis_id,z5nf827h2uf1hj2
gene_symbol,Psd4
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.4103759
parameter_name,cDCs CD11b Type
