analysis_id,0k60zpe053m241k
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.8479082
parameter_id,MGP_PBI_011_001
