parameter_name,Percent time in dark
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
gene_symbol,Inpp1
pvalue,0.7652334
analysis_id,g2ak9908o22054a
