gene_symbol,Atf3
pvalue,0.264208
parameter_name,Creatinine
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
analysis_id,3s36el53y4qjb52
