analysis_id,56sw208s7p8hs90
pvalue,0.4055857
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
gene_symbol,Golm2
mouse_strain,C57BL
parameter_name,Percentage center time
