parameter_name,Hindlimbs - size
gene_symbol,Npbwr1
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:891989
analysis_id,80c8yzsbxkxdqws
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2047177
