analysis_id,480cup5z67m9wa4
pvalue,0.1385356
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Hemorrhage
mouse_life_stage,E18.5
parameter_id,IMPC_GEO_009_002
