parameter_name,Startle response
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
analysis_id,ad5u5ax2vxiu8x5
mouse_life_stage,Early adult
pvalue,0.1999328
mouse_strain,C57BL
parameter_id,IMPC_CSD_036_001
