parameter_name,PR
mouse_life_stage,Middle aged adult
pvalue,0.7604907
gene_symbol,Hpca
parameter_id,IMPC_ECG_006_001
analysis_id,7v900hg8i47wlnn
mouse_strain,C57BL
gene_accession_id,MGI:1336200
