parameter_id,IMPC_GEL_017_002
analysis_id,zem7142h48g9er4
pvalue,0.09981995
mouse_life_stage,Early adult
gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_name,Pale yolk sac
gene_accession_id,MGI:1924054
