parameter_name,B Cells
mouse_life_stage,Early adult
pvalue,0.4044005
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_strain,129SV
analysis_id,4189e9qki898m5m
parameter_id,IMPC_IMM_063_001
