parameter_name,Total protein
analysis_id,d124bf46ngm4j4c
gene_symbol,Trim46
parameter_id,IMPC_CBC_006_001
pvalue,0.1833589
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
