gene_symbol,Orc2
pvalue,0.5043811
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
analysis_id,r2w5t3v865f355p
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C59BL
gene_accession_id,MGI:1328306
