parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_symbol,Col6a3
mouse_life_stage,Early adult
analysis_id,dvvn77dl78b5l3h
parameter_id,IMPC_HEM_029_001
pvalue,0.3009113
gene_accession_id,MGI:88461
