analysis_id,8lmv36pb9jg66o5
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.5493855
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
mouse_life_stage,Early adult
mouse_strain,C57BL
