parameter_name,PP1 startle magnitude
analysis_id,hgxd4p997hhtid0
gene_accession_id,MGI:1915848
parameter_id,ESLIM_011_001_002
gene_symbol,Dnajc8
pvalue,0.6893468
mouse_life_stage,Early adult
mouse_strain,C57BL
