parameter_name,Right kidney weight
gene_accession_id,MGI:99915
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_symbol,Lamb3
analysis_id,s4o4j98f35k6fmz
pvalue,0.8247806
