analysis_id,y71052i860x881t
parameter_id,IMPC_CBC_024_001
pvalue,0.6633771
gene_symbol,Ufc1
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913405
