gene_symbol,Clvs1
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
pvalue,0.281921
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
analysis_id,337lsjr300g4th0
