parameter_name,Corneal vascularization
analysis_id,72q12e86016hq6n
mouse_strain,C57BL
gene_accession_id,MGI:1888742
parameter_id,IMPC_EYE_009_001
pvalue,0.1167971
mouse_life_stage,Early adult
gene_symbol,Extl1
