analysis_id,0695119n23n1527
pvalue,0.9923353
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
gene_symbol,Etfdh
mouse_strain,C57BL
gene_accession_id,MGI:106100
parameter_name,Total cholesterol
