analysis_id,q0ztpe24519x963
mouse_strain,C57BL
gene_symbol,Cldn19
parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.6459752
parameter_id,IMPC_OFD_013_001
gene_accession_id,MGI:3033992
