analysis_id,00k096vpv6jbazo
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,AU040320
pvalue,0.6260769
gene_accession_id,MGI:2140475
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
