gene_symbol,Eprs1
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
analysis_id,7cls20r2aiy981v
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.7540585
mouse_life_stage,Early adult
