analysis_id,02cj901925ibn56
mouse_strain,C57BL
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
pvalue,0.8046
gene_symbol,Hspa5
parameter_name,Head coat/hair presence
