parameter_name,Mean platelet volume
gene_symbol,Mov10
pvalue,0.9470721
gene_accession_id,MGI:97054
analysis_id,t90ytwwn6s2c3m9
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
