analysis_id,zoo96760y5bmra4
mouse_strain,C57BL
gene_symbol,Eprs1
mouse_life_stage,E9.5
pvalue,0.7512948
parameter_name,Center average speed
gene_accession_id,MGI:97838
parameter_id,JAXLA_OFD_017_001
