parameter_name,PQ
mouse_life_stage,Early adult
analysis_id,7mwu9ywur577m8s
gene_accession_id,MGI:1915678
gene_symbol,Steap3
pvalue,0.8474428
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
