parameter_name,Startle response
analysis_id,d5myirkrkakm40r
mouse_life_stage,Early adult
gene_symbol,Ints7
parameter_id,MGP_CSD_008_001
mouse_strain,C57BL
pvalue,0.1623893
gene_accession_id,MGI:1924315
