parameter_name,Snout size
analysis_id,h195jpq1e94o9o5
mouse_strain,C57BL
gene_symbol,Traf6
pvalue,0.3592061
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
parameter_id,IMPC_CSD_028_001
