analysis_id,814x19p5xa649qr
gene_symbol,Slc39a10
pvalue,0.3378643
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
