analysis_id,00426149xk6u6ye
pvalue,0.9110851
gene_symbol,Eprs1
parameter_id,ESLIM_011_001_702
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:97838
