analysis_id,7821r945js716a6
mouse_life_stage,Early adult
parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
gene_symbol,Ufc1
mouse_strain,C57BL
gene_accession_id,MGI:1913405
pvalue,0.6338362
