parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1914836
analysis_id,7o63f50a313281h
mouse_strain,C57BL
pvalue,0.4406453
parameter_name,LVIDd
gene_symbol,Ubxn11
mouse_life_stage,Early adult
