gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:2441730
mouse_strain,C57BL
analysis_id,utn32rxy12wb8nm
pvalue,0.4622749
parameter_name,Bone Area
