parameter_name,Periphery permanence time
gene_accession_id,MGI:103302
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
Analysis_id,ba4378p1o48134q
pvalue,0.9401978
gene_symbol,Bmp7
