gene_symbol,Gja10
mouse_strain,C57BL
analysis_id,3w18mm154t4v52p
parameter_name,Time mobile dark side
gene_accession_id,MGI:1339969
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
pvalue,0.1038885
